id,x,y,porosity,permeability,thickness
injector-1,150.0,-150.0,0.273839400749097,8.82946564200657,59.9323472498258
injector-2,390.0,-150.0,0.289710900320564,10.5638990859,59.4275284494014
injector-3,630.0,-150.0,0.297513915562263,11.5376605356277,51.1596746525635
injector-4,870.0,-150.0,0.289232525594025,10.506948574998,41.1211031357989
injector-5,1110.0,-150.0,0.288268553993443,10.3931187474117,37.9636040476767
injector-6,1350.0,-150.0,0.299107570663844,11.7473163249555,41.8562377940032
injector-7,150.0,-390.0,0.292225595221953,10.8683891092943,62.4402460155044
injector-8,390.0,-390.0,0.301456499270932,12.0632990853353,59.5768166431439
injector-9,630.0,-390.0,0.292913185609915,10.9531629180644,51.2095653770263
injector-10,870.0,-390.0,0.265985884204753,8.07965973498576,43.9000110777556
injector-11,1110.0,-390.0,0.275979927754385,9.04563618348091,41.368227492203
injector-12,1350.0,-390.0,0.302370557535628,12.1885449029853,43.2082637761914
injector-13,150.0,-630.0,0.269069627085608,8.36616883739873,57.414638475232
injector-14,390.0,-630.0,0.272905916069951,8.73681860778671,54.6300127012965
injector-15,630.0,-630.0,0.279143818071225,9.37488600513884,47.3388303685644
injector-16,870.0,-630.0,0.265558451949766,8.04072919648296,43.0997393888769
injector-17,1110.0,-630.0,0.279290889319313,9.39047912959209,42.5653831605147
injector-18,1350.0,-630.0,0.283143241430507,9.80828950795732,44.6002987017397
injector-19,150.0,-870.0,0.304242463322057,12.449109617232,49.2506020701304
injector-20,390.0,-870.0,0.272103015944292,8.65790995100473,49.8170200496163
injector-21,630.0,-870.0,0.29348967485947,11.0247483319444,44.9508089279
injector-22,870.0,-870.0,0.290627977664027,10.6739416968243,43.0707870247353
injector-23,1110.0,-870.0,0.273800136615426,8.82554901203816,44.2064307192966
injector-24,1350.0,-870.0,0.2648272123877,7.97456233951128,46.4507436356176
injector-25,150.0,-1110.0,0.288869441312178,10.4639284289817,44.4151518689007
injector-26,390.0,-1110.0,0.281321876477624,9.60848413573253,47.299033382622
injector-27,630.0,-1110.0,0.283395695332542,9.83630984900763,46.0659923810191
injector-28,870.0,-1110.0,0.262973968352398,7.80929827691262,46.9291573520704
injector-29,1110.0,-1110.0,0.258184584224691,7.39789181580207,48.5900386746138
injector-30,1350.0,-1110.0,0.280514617984145,9.5212338961696,49.4345915846042
injector-31,150.0,-1350.0,0.286858385077341,10.2288178847602,44.7101114109068
injector-32,390.0,-1350.0,0.277886491797836,9.24263137024936,46.9944285297282
injector-33,630.0,-1350.0,0.264871070626273,7.97851549692992,48.1955312422548
injector-34,870.0,-1350.0,0.265580274034784,8.04271220084723,50.5615905703917
injector-35,1110.0,-1350.0,0.296436542118636,11.398048927771,51.8495108071199
injector-36,1350.0,-1350.0,0.293793435091794,11.062655698361,51.1820078345694
producer-1,270.0,-270.0,0.280718142379649,9.5431562734467,61.9084270674878
producer-2,510.0,-270.0,0.307065383736525,12.8526254333141,56.4384287916095
producer-3,750.0,-270.0,0.284202478536831,9.92639405440586,46.5976404660571
producer-4,990.0,-270.0,0.270229637395842,8.47655545296117,40.3416004834735
producer-5,1230.0,-270.0,0.297604589423325,11.5494882497981,40.4341353915601
producer-6,270.0,-510.0,0.280744893687102,9.54604150806848,59.8023647154179
producer-7,510.0,-510.0,0.291744826072239,10.8095046008459,53.5999262690203
producer-8,750.0,-510.0,0.26654556758285,8.13092084173689,46.0693387300416
producer-9,990.0,-510.0,0.266447744794151,8.12193790783689,42.8188042425266
producer-10,1230.0,-510.0,0.29264741455694,10.9203175833614,42.7541636943881
producer-11,270.0,-750.0,0.269529386229483,8.40974651409241,53.2576608249324
producer-12,510.0,-750.0,0.277974124139466,9.25178837710004,48.9559150689496
producer-13,750.0,-750.0,0.291617868903817,10.7940082308871,43.2932784713989
producer-14,990.0,-750.0,0.280446611290615,9.51391987057247,42.638229516921
producer-15,1230.0,-750.0,0.274252907132631,8.8708189375179,43.8424653829627
producer-16,270.0,-990.0,0.290753541529719,10.6890973998929,48.0220747116523
producer-17,510.0,-990.0,0.276660305592803,9.11544950084544,47.1561629738384
producer-18,750.0,-990.0,0.296767900413696,11.4408071988285,44.2644038723887
producer-19,990.0,-990.0,0.258970931899152,7.46392039717215,45.5712219627744
producer-20,1230.0,-990.0,0.25475578138297,7.11673887804834,46.8952814085199
producer-21,270.0,-1230.0,0.280274959282169,9.49548391313811,45.5385368845342
producer-22,510.0,-1230.0,0.270769562714003,8.52843032836938,47.0112063144566
producer-23,750.0,-1230.0,0.268758330827976,8.33679130293713,47.571070659244
producer-24,990.0,-1230.0,0.27229453546286,8.67666743470614,50.0662273276824
producer-25,1230.0,-1230.0,0.290590975484871,10.6694795918838,50.4980305792605
