timestep,producer-19-production,producer-20-production,producer-24-production,producer-25-production
0,6291.337682555312,4305.376097897448,7998.406330614266,6460.7574313591695
1,3569.938838200536,2447.7957769028835,3784.631631489604,3169.617594795912
2,3001.035686269443,2391.373159779515,3974.1410725266937,3509.08171881118
3,2702.9249488070627,2341.568555216362,3864.6874379654846,3195.535911629637
4,2886.386055713137,2335.4128104304527,3572.427829918924,3146.978282503995
5,2884.522237862779,2365.982076042701,3659.562819703358,3111.3635633621493
6,2894.176103002056,2261.7178152251613,3648.0777834639593,3161.8570467106283
7,2768.4784968926992,2197.752632528765,3385.0081387089986,2985.850444630169
8,2764.025505716337,2076.185007406779,3264.16390369175,3191.4934808400685
9,2776.526742609773,2254.053162348111,3045.877611444005,2735.698282499766
10,2709.1260498387624,2243.116611083334,3434.7486134595965,3011.495578618828
11,2680.026018844206,2142.8252898392734,3297.4448375515058,2934.763155099756
12,2658.7638613295862,2081.127120157167,3563.7623760236074,2923.4908502986814
13,2506.0894230030285,2227.366093580676,3685.0768242172735,2836.9524071197006
14,2666.3380617847106,2171.677673393718,3445.8233619276407,2820.168144453556
15,2565.956831548712,2021.733383446749,3419.721184428526,2749.359759905242
16,2299.8843826305624,2083.512621911508,2805.23750568327,2927.027201033988
17,2401.2676593138526,2235.8807210364785,3427.1788032588265,2842.5657661853447
18,2335.846080313328,1877.0280476103328,2884.391226663896,2666.987582000282
19,2346.365301731064,1942.5569330801263,3299.062809055132,3007.966252123634
20,2264.9987652434043,2090.692076157663,3178.104454681262,2945.528987403298
21,2339.829659377212,1925.7345131385955,3065.286850949843,2788.0576797893423
22,2124.569719868562,1809.249392247145,2960.089460763544,2607.4490140370426
23,2569.96079182036,2009.7906988058087,3203.6263274614894,2757.126293926612
24,2298.4886959334654,1917.9238101862904,3229.7477907424773,2671.756576955353
25,2379.617423791377,1993.955008021949,3160.477203925456,2643.243795997951
26,2217.684651661037,1960.2962659465763,2891.317484232771,2938.6573326469083
27,2175.0166173237644,2014.1381043419728,2817.696386038486,2820.497410564263
28,2181.0598241917583,1898.5233091833447,2898.97111524877,2538.3818719358865
29,2255.7232216511406,1903.5703949465144,2997.3419086523454,2604.577360678713
