timestep,producer-19-production,producer-20-production,producer-24-production,producer-25-production
0,5346.152306891533,5441.273526519844,6129.928952762639,7579.88592324651
1,3390.3674054382464,3565.450291175646,3946.230246874432,4105.436498587676
2,3109.835097474446,3859.876138599519,3664.918253881159,4026.975943368615
3,3430.6134285297144,2922.4453493483925,4033.7668618974094,3980.5127557479855
4,3053.804307092537,3336.9225631486847,3899.626377488909,3620.802400605391
5,3057.540725099308,2956.5523983698063,4055.0764814316303,3664.774922108004
6,3131.342322372152,3533.5426309099776,3714.136407644237,4190.212885725407
7,2923.160265139404,2956.3855415733924,3683.6387735723215,3314.259818665767
8,3042.357801497366,3120.8045124153687,3541.0413343978144,3518.85428377332
9,3206.647341988564,3056.826811820907,3645.8347440329912,3636.366018097895
10,2984.239809346096,2775.0561906833286,3468.1301167197407,3498.6220301142043
11,2863.670469222394,3039.086839073094,3683.498262896072,3600.711234387618
12,2828.156142862488,3009.421698038723,3708.3401771704553,3526.193726812892
13,2620.5079193803017,3036.289074492201,3431.896360270792,3515.712314365181
14,2673.5872474938296,2881.0908912185623,3152.666277589623,3679.9389412985583
15,2479.421785204508,3033.170596769781,3704.230569422408,3196.615191439181
16,2421.031932447826,2764.555133674857,3244.8557773564376,3306.219430674696
17,2700.4082932934134,2978.198080824084,3489.0954984887803,3422.89066020205
18,2703.3428140812803,2909.0351855122058,3692.962893342714,3428.111668823856
19,2583.1194688512187,2825.398161945076,3265.967761469194,3606.445388472632
20,2533.7420432908107,2967.4016334093385,3543.0214354929385,3315.746324945373
21,2454.751562876248,2573.038325596962,3237.339231421258,3381.0386391590205
22,2421.9717194751647,2785.282035439633,3280.856254705408,3775.811674037997
23,2461.248131565519,2915.6831425198466,2796.0830575183413,3157.937186986802
24,2440.7838081651626,2900.89622711678,3252.925214282184,3382.258508999176
25,2460.5136133372025,2671.3178136931115,3174.159585832921,3204.0820314768694
26,2600.5354596865923,2846.7689765002992,3193.556842001358,3275.592380697681
27,2141.033661331548,2527.0652938698486,3447.6817521401417,3359.614323957845
28,2363.429251329691,2720.7231660694333,3038.8791835496427,3601.187132090578
29,2638.708119518476,2621.11069673646,3121.4078231454555,3333.372348025516
30,2168.68776713763,2520.2805738519755,2951.68103499708,3546.063524562629
31,2347.7105223561016,2625.924785034091,3056.873126220899,3097.6497174472497
32,2031.607116073508,2493.075037334374,3046.5192335355027,3463.760740587063
33,2394.132791247123,2503.9579276016843,2953.3217613985075,3160.586543788964
34,2242.3608322587147,2624.41477473466,3295.863937557466,3301.8921645462187
35,2464.366536801681,2400.179792836583,3101.896769780876,3218.4561556099907
